"External ID","Asientos/Debe","Asientos/Haber","Asientos/Fecha creación","Asientos/Fecha vencimiento","Asientos/Nombre","Asientos/Nota interna","Asientos/Referencia","Asientos/Cuenta/Activo","Asientos/Empresa/Activo","Asientos/Producto/Activo","Asientos/Boleta de Depósito/ID","Asientos/Boleta de Depósito","Asientos/Cuenta","Asientos/Empresa","Asientos/Producto"
"","1187500.0","","","2017-12-28","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
"","","1100000.0","","2018-01-21","ENTR |01775","","","True","True","","","","__export__.account_account_928","__export__.res_partner_384",""
"","","123000.0","","2018-01-11","007-001-0014584","","","True","True","","","","__export__.account_account_928","__export__.res_partner_780",""
"","18726000.0","","","2017-12-30","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1549",""
"","","188550.0","","2017-12-24","OC |2017|03242","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","","706916.0","","2018-01-10","OC |2017|03441","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1035",""
"","240000.0","","","2017-10-25","ING. BLAS GIMENEZ - CAJA ESPECIAL PARA MANDO","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1709",""
"","1808000.0","","","2017-12-13","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1012",""
"","3160000.0","","","2018-01-02","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_575",""
"","24164400.0","","","2017-12-24","SOLICITUD Nº 18042 - TECNO EDIL S.A, REPOS - OC Nº 36612  22/12/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","588000.0","","","2017-12-27","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1146",""
"","3780000.0","","","2018-01-05","Edson Reyes - Jorge Cespedes","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1549",""
"","10086000.0","","","2018-01-04","Pedido de cotización defensores","","","True","True","","","","__export__.account_account_828","__export__.res_partner_2149",""
"","2240000.0","","","2017-11-25","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1018",""
"","2792000.0","","","2018-01-12","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1307",""
"","2822700.0","","","2018-01-21","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1611",""
"","","495000.0","","2017-12-20","001-001-0003246","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1215",""
"","","96000.0","","2017-12-20","ENTR |01641","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1865",""
"","516000.0","","","2017-12-20","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1980",""
"","717000.0","","","2017-11-30","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1628",""
"","750000.0","","","2017-12-06","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1709",""
"","1932000.0","","","2018-01-11","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_435",""
"","15304000.0","","","2017-12-24","REPOS-ADIC- OC 36348","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","34494000.0","","","2018-01-20","REPOS - OC 36582 23/12/2017., REPOS - OC 36582 23/12/2017.","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","1980600.0","","","2018-01-13",", ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1348",""
"","","706916.0","","2017-12-20","OC |2017|03244","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1035",""
"","2778750.0","","","2017-12-20","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_605",""
"","141000.0","","","2018-01-17","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_661",""
"","","96759.0","","2017-12-30","OC |2017|03253","","","True","True","","","","__export__.account_account_928","__export__.res_partner_378",""
"","","10756788.0","","2018-01-27","ENTR |01773, ENTR |01717","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1970",""
"","5935000.0","","","2017-12-21","SOLICITUD Nº 17582 al 17587 - GRUPO RIVEROS S.A -TABLERO EMBUTIR","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","750000.0","","","2017-11-22","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1526",""
"","40908200.0","","","2018-01-21","SOLICITUD Nº 18277 - SEGE S.R.L, REPOS - OC N º 36702- 22/12/201","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","","45000.0","","2018-01-10","OC |2017|03439","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
